idade,deixou_a_empresa,viagem_trabalho,salario_diario,departamento,distancia_casa,nivel_educacional,nivel_educacional_nome,area_formacao,numero_funcionario,satisfacao_ambiente,satisfacao_ambiente_nome,genero,salario_hora,envolvimento_trabalho,envolvimento_trabalho_nome,nivel_cargo,cargo,satisfacao_trabalho,satisfacao_trabalho_nome,estado_civil,salario_mensal,taxa_mensal,num_empresas_anteriores,faz_hora_extra,aumento_salarial_pct,avaliacao_desempenho,avaliacao_desempenho_nome,satisfacao_relacionamentos,satisfacao_relacionamentos_nome,nivel_acoes,anos_experiencia_total,treinamentos_ultimo_ano,equilibrio_vida_trabalho,equilibrio_vida_trabalho_nome,anos_empresa,anos_cargo_atual,anos_desde_ultima_promocao,anos_com_gerente_atual
31,Não,Viaja Raramente,670,Pesquisa e Desenvolvimento,26,1,abaixo_faculdade,Ciências Biológicas,16,1,baixa,Masculino,31,3,alto,1,Cientista Pesquisador,3,alta,Divorciado(a),2911,15170,1,Não,17,3,excelente,4,muito_alta,1,5,1,2,bom,5,2,4,3
34,Não,Viaja Raramente,1346,Pesquisa e Desenvolvimento,19,2,faculdade,Medicina,18,2,media,Masculino,93,3,alto,1,Técnico de Laboratório,4,muito_alta,Divorciado(a),2661,8758,0,Não,11,3,excelente,3,alta,1,3,2,3,melhor,2,2,1,2
28,Sim,Viaja Raramente,103,Pesquisa e Desenvolvimento,24,3,bacharelado,Ciências Biológicas,19,3,alta,Masculino,50,2,medio,1,Técnico de Laboratório,3,alta,Solteiro(a),2028,12947,5,Sim,14,3,excelente,2,media,0,6,4,3,melhor,4,2,0,3
29,Não,Viaja Raramente,1389,Pesquisa e Desenvolvimento,21,4,mestrado,Ciências Biológicas,20,2,media,Feminino,51,4,muito_alto,3,Diretor de Produção,1,baixa,Divorciado(a),9980,10195,1,Não,11,3,excelente,3,alta,1,10,1,3,melhor,10,9,8,8
32,Não,Viaja Raramente,334,Pesquisa e Desenvolvimento,5,2,faculdade,Ciências Biológicas,21,1,baixa,Masculino,80,4,muito_alto,1,Cientista Pesquisador,2,media,Divorciado(a),3298,15053,0,Sim,12,3,excelente,4,muito_alta,2,7,5,2,bom,6,2,0,5
22,Não,Não Viaja,1123,Pesquisa e Desenvolvimento,16,2,faculdade,Medicina,22,4,muito_alta,Masculino,96,4,muito_alto,1,Técnico de Laboratório,4,muito_alta,Divorciado(a),2935,7324,1,Sim,13,3,excelente,2,media,2,1,2,2,bom,1,0,0,0
53,Não,Viaja Raramente,1219,Vendas,2,4,mestrado,Ciências Biológicas,23,1,baixa,Feminino,78,2,medio,4,Gerente,4,muito_alta,Casado(a),15427,22021,2,Não,16,3,excelente,3,alta,0,31,3,3,melhor,25,8,3,7
38,Não,Viaja Raramente,371,Pesquisa e Desenvolvimento,2,3,bacharelado,Ciências Biológicas,24,4,muito_alta,Masculino,45,3,alto,1,Cientista Pesquisador,4,muito_alta,Solteiro(a),3944,4306,5,Sim,11,3,excelente,3,alta,0,6,3,3,melhor,3,2,1,2
24,Não,Não Viaja,673,Pesquisa e Desenvolvimento,11,2,faculdade,Outro,26,1,baixa,Feminino,96,4,muito_alto,2,Diretor de Produção,3,alta,Divorciado(a),4011,8232,0,Não,18,3,excelente,4,muito_alta,1,5,5,2,bom,4,2,1,3
36,Sim,Viaja Raramente,1218,Vendas,9,4,mestrado,Ciências Biológicas,27,3,alta,Masculino,82,2,medio,1,Representante de Vendas,1,baixa,Solteiro(a),3407,6986,7,Não,23,4,excepcional,2,media,0,10,4,3,melhor,5,3,0,3
34,Não,Viaja Raramente,419,Pesquisa e Desenvolvimento,7,4,mestrado,Ciências Biológicas,28,1,baixa,Feminino,53,3,alto,3,Diretor de Pesquisa,2,media,Solteiro(a),11994,21293,0,Não,11,3,excelente,3,alta,0,13,4,3,melhor,12,6,2,11
21,Não,Viaja Raramente,391,Pesquisa e Desenvolvimento,15,2,faculdade,Ciências Biológicas,30,3,alta,Masculino,96,3,alto,1,Cientista Pesquisador,4,muito_alta,Solteiro(a),1232,19281,1,Não,14,3,excelente,4,muito_alta,0,0,6,3,melhor,0,0,0,0
34,Sim,Viaja Raramente,699,Pesquisa e Desenvolvimento,6,1,abaixo_faculdade,Medicina,31,2,media,Masculino,83,3,alto,1,Cientista Pesquisador,1,baixa,Solteiro(a),2960,17102,2,Não,11,3,excelente,3,alta,0,8,2,3,melhor,4,2,1,3
53,Não,Viaja Raramente,1282,Pesquisa e Desenvolvimento,5,3,bacharelado,Outro,32,3,alta,Feminino,58,3,alto,5,Gerente,3,alta,Divorciado(a),19094,10735,4,Não,11,3,excelente,4,muito_alta,1,26,3,2,bom,14,13,4,8
32,Sim,Viaja Frequentemente,1125,Pesquisa e Desenvolvimento,16,1,abaixo_faculdade,Ciências Biológicas,33,2,media,Feminino,72,1,baixo,1,Cientista Pesquisador,1,baixa,Solteiro(a),3919,4681,1,Sim,22,4,excepcional,2,media,0,10,5,3,melhor,10,2,6,7
42,Não,Viaja Raramente,691,Vendas,8,4,mestrado,Marketing,35,3,alta,Masculino,48,3,alto,2,Executivo de Vendas,2,media,Casado(a),6825,21173,0,Não,11,3,excelente,4,muito_alta,1,10,2,3,melhor,9,7,4,2
44,Não,Viaja Raramente,477,Pesquisa e Desenvolvimento,7,4,mestrado,Medicina,36,1,baixa,Feminino,42,2,medio,3,Representante de Saúde,4,muito_alta,Casado(a),10248,2094,3,Não,14,3,excelente,4,muito_alta,1,24,4,3,melhor,22,6,5,17
46,Não,Viaja Raramente,705,Vendas,2,4,mestrado,Marketing,38,2,media,Feminino,83,3,alto,5,Gerente,1,baixa,Solteiro(a),18947,22822,3,Não,12,3,excelente,4,muito_alta,0,22,2,2,bom,2,2,2,1
33,Não,Viaja Raramente,924,Pesquisa e Desenvolvimento,2,3,bacharelado,Medicina,39,3,alta,Masculino,78,3,alto,1,Técnico de Laboratório,4,muito_alta,Solteiro(a),2496,6670,4,Não,11,3,excelente,4,muito_alta,0,7,3,3,melhor,1,1,0,0
44,Não,Viaja Raramente,1459,Pesquisa e Desenvolvimento,10,4,mestrado,Outro,40,4,muito_alta,Masculino,41,3,alto,2,Representante de Saúde,4,muito_alta,Casado(a),6465,19121,2,Sim,13,3,excelente,4,muito_alta,0,9,5,4,excelente,4,2,1,3
30,Não,Viaja Raramente,125,Pesquisa e Desenvolvimento,9,2,faculdade,Medicina,41,4,muito_alta,Masculino,83,2,medio,1,Técnico de Laboratório,3,alta,Solteiro(a),2206,16117,1,Não,13,3,excelente,1,baixa,0,10,5,3,melhor,10,0,1,8
39,Sim,Viaja Raramente,895,Vendas,5,3,bacharelado,Técnico,42,4,muito_alta,Masculino,56,3,alto,2,Representante de Vendas,4,muito_alta,Casado(a),2086,3335,3,Não,14,3,excelente,3,alta,1,19,6,4,excelente,1,0,0,0
24,Sim,Viaja Raramente,813,Pesquisa e Desenvolvimento,1,3,bacharelado,Medicina,45,2,media,Masculino,61,3,alto,1,Cientista Pesquisador,4,muito_alta,Casado(a),2293,3020,2,Sim,16,3,excelente,1,baixa,1,6,2,2,bom,2,0,2,0
43,Não,Viaja Raramente,1273,Pesquisa e Desenvolvimento,2,2,faculdade,Medicina,46,4,muito_alta,Feminino,72,4,muito_alto,1,Cientista Pesquisador,3,alta,Divorciado(a),2645,21923,1,Não,12,3,excelente,4,muito_alta,2,6,3,2,bom,5,3,1,4
50,Sim,Viaja Raramente,869,Vendas,3,2,faculdade,Marketing,47,1,baixa,Masculino,86,2,medio,1,Representante de Vendas,3,alta,Casado(a),2683,3810,1,Sim,14,3,excelente,3,alta,0,3,2,3,melhor,3,2,0,2
35,Não,Viaja Raramente,890,Vendas,2,3,bacharelado,Marketing,49,4,muito_alta,Feminino,97,3,alto,1,Representante de Vendas,4,muito_alta,Casado(a),2014,9687,1,Não,13,3,excelente,1,baixa,0,2,3,3,melhor,2,2,2,2
36,Não,Viaja Raramente,852,Pesquisa e Desenvolvimento,5,4,mestrado,Ciências Biológicas,51,2,media,Feminino,82,2,medio,1,Cientista Pesquisador,1,baixa,Casado(a),3419,13072,9,Sim,14,3,excelente,4,muito_alta,1,6,3,4,excelente,1,1,0,0
33,Não,Viaja Frequentemente,1141,Vendas,1,3,bacharelado,Ciências Biológicas,52,3,alta,Feminino,42,4,muito_alto,2,Executivo de Vendas,1,baixa,Casado(a),5376,3193,2,Não,19,3,excelente,1,baixa,2,10,3,3,melhor,5,3,1,3
35,Não,Viaja Raramente,464,Pesquisa e Desenvolvimento,4,2,faculdade,Outro,53,3,alta,Masculino,75,3,alto,1,Técnico de Laboratório,4,muito_alta,Divorciado(a),1951,10910,1,Não,12,3,excelente,3,alta,1,1,3,3,melhor,1,0,0,0
27,Não,Viaja Raramente,1240,Pesquisa e Desenvolvimento,2,4,mestrado,Ciências Biológicas,54,4,muito_alta,Feminino,33,3,alto,1,Técnico de Laboratório,1,baixa,Divorciado(a),2341,19715,1,Não,13,3,excelente,4,muito_alta,1,1,6,3,melhor,1,0,0,0
26,Sim,Viaja Raramente,1357,Pesquisa e Desenvolvimento,25,3,bacharelado,Ciências Biológicas,55,1,baixa,Masculino,48,1,baixo,1,Técnico de Laboratório,3,alta,Solteiro(a),2293,10558,1,Não,12,3,excelente,3,alta,0,1,2,2,bom,1,0,0,1
27,Não,Viaja Frequentemente,994,Vendas,8,3,bacharelado,Ciências Biológicas,56,4,muito_alta,Masculino,37,3,alto,3,Executivo de Vendas,3,alta,Solteiro(a),8726,2975,1,Não,15,3,excelente,4,muito_alta,0,9,0,3,melhor,9,8,1,7
30,Não,Viaja Frequentemente,721,Pesquisa e Desenvolvimento,1,2,faculdade,Medicina,57,3,alta,Feminino,58,3,alto,2,Técnico de Laboratório,4,muito_alta,Solteiro(a),4011,10781,1,Não,23,4,excepcional,4,muito_alta,0,12,2,3,melhor,12,8,3,7
41,Sim,Viaja Raramente,1360,Pesquisa e Desenvolvimento,12,3,bacharelado,Técnico,58,2,media,Feminino,49,3,alto,5,Diretor de Pesquisa,3,alta,Casado(a),19545,16280,1,Não,12,3,excelente,4,muito_alta,0,23,0,3,melhor,22,15,15,8
34,Não,Não Viaja,1065,Vendas,23,4,mestrado,Marketing,60,2,media,Masculino,72,3,alto,2,Executivo de Vendas,3,alta,Solteiro(a),4568,10034,0,Não,20,4,excepcional,3,alta,0,10,2,3,melhor,9,5,8,7
37,Não,Viaja Raramente,408,Pesquisa e Desenvolvimento,19,2,faculdade,Ciências Biológicas,61,2,media,Masculino,73,3,alto,1,Cientista Pesquisador,2,media,Casado(a),3022,10227,4,Não,21,4,excepcional,1,baixa,0,8,1,3,melhor,1,0,0,0
46,Não,Viaja Frequentemente,1211,Vendas,5,4,mestrado,Marketing,62,1,baixa,Masculino,98,3,alto,2,Executivo de Vendas,4,muito_alta,Solteiro(a),5772,20445,4,Sim,21,4,excepcional,3,alta,0,14,4,3,melhor,9,6,0,8
35,Não,Viaja Raramente,1229,Pesquisa e Desenvolvimento,8,1,abaixo_faculdade,Ciências Biológicas,63,4,muito_alta,Masculino,36,4,muito_alto,1,Técnico de Laboratório,4,muito_alta,Casado(a),2269,4892,1,Não,19,3,excelente,4,muito_alta,0,1,2,3,melhor,1,0,0,1
48,Sim,Viaja Raramente,626,Pesquisa e Desenvolvimento,1,2,faculdade,Ciências Biológicas,64,1,baixa,Masculino,98,2,medio,3,Técnico de Laboratório,3,alta,Solteiro(a),5381,19294,9,Sim,13,3,excelente,4,muito_alta,0,23,2,3,melhor,1,0,0,0
28,Sim,Viaja Raramente,1434,Pesquisa e Desenvolvimento,5,4,mestrado,Técnico,65,3,alta,Masculino,50,3,alto,1,Técnico de Laboratório,3,alta,Solteiro(a),3441,11179,1,Sim,13,3,excelente,3,alta,0,2,3,2,bom,2,2,2,2
44,Não,Viaja Raramente,1488,Vendas,1,5,doutorado,Marketing,68,2,media,Feminino,75,3,alto,2,Executivo de Vendas,1,baixa,Divorciado(a),5454,4009,5,Sim,21,4,excepcional,3,alta,1,9,2,2,bom,4,3,1,3
35,Não,Não Viaja,1097,Pesquisa e Desenvolvimento,11,2,faculdade,Medicina,70,3,alta,Masculino,79,2,medio,3,Representante de Saúde,1,baixa,Casado(a),9884,8302,2,Sim,13,3,excelente,3,alta,1,10,3,3,melhor,4,0,2,3
26,Não,Viaja Raramente,1443,Vendas,23,3,bacharelado,Marketing,72,3,alta,Feminino,47,2,medio,2,Executivo de Vendas,4,muito_alta,Casado(a),4157,21436,7,Sim,19,3,excelente,3,alta,1,5,2,2,bom,2,2,0,0
33,Não,Viaja Frequentemente,515,Pesquisa e Desenvolvimento,1,2,faculdade,Ciências Biológicas,73,1,baixa,Feminino,98,3,alto,3,Diretor de Pesquisa,4,muito_alta,Solteiro(a),13458,15146,1,Sim,12,3,excelente,3,alta,0,15,1,3,melhor,15,14,8,12
35,Não,Viaja Frequentemente,853,Vendas,18,5,doutorado,Ciências Biológicas,74,2,media,Masculino,71,3,alto,3,Executivo de Vendas,1,baixa,Casado(a),9069,11031,1,Não,22,4,excepcional,4,muito_alta,1,9,3,2,bom,9,8,1,8
35,Não,Viaja Raramente,1142,Pesquisa e Desenvolvimento,23,4,mestrado,Medicina,75,3,alta,Feminino,30,3,alto,1,Técnico de Laboratório,1,baixa,Casado(a),4014,16002,3,Sim,15,3,excelente,3,alta,1,4,3,3,melhor,2,2,2,2
31,Não,Viaja Raramente,655,Pesquisa e Desenvolvimento,7,4,mestrado,Ciências Biológicas,76,4,muito_alta,Masculino,48,3,alto,2,Técnico de Laboratório,4,muito_alta,Divorciado(a),5915,9528,3,Não,22,4,excepcional,4,muito_alta,1,10,3,2,bom,7,7,1,7
37,Não,Viaja Raramente,1115,Pesquisa e Desenvolvimento,1,4,mestrado,Ciências Biológicas,77,1,baixa,Masculino,51,2,medio,2,Diretor de Produção,3,alta,Divorciado(a),5993,2689,1,Não,18,3,excelente,3,alta,1,7,2,4,excelente,7,5,0,7
32,Não,Viaja Raramente,427,Pesquisa e Desenvolvimento,1,3,bacharelado,Medicina,78,1,baixa,Masculino,33,3,alto,2,Diretor de Produção,4,muito_alta,Casado(a),6162,10877,1,Sim,22,4,excepcional,2,media,1,9,3,3,melhor,9,8,7,8
38,Não,Viaja Frequentemente,653,Pesquisa e Desenvolvimento,29,5,doutorado,Ciências Biológicas,79,4,muito_alta,Feminino,50,3,alto,2,Técnico de Laboratório,4,muito_alta,Solteiro(a),2406,5456,1,Não,11,3,excelente,4,muito_alta,0,10,2,3,melhor,10,3,9,9
50,Não,Viaja Raramente,989,Pesquisa e Desenvolvimento,7,2,faculdade,Medicina,80,2,media,Feminino,43,2,medio,5,Diretor de Pesquisa,3,alta,Divorciado(a),18740,16701,5,Sim,12,3,excelente,4,muito_alta,1,29,2,2,bom,27,3,13,8
59,Não,Viaja Raramente,1435,Vendas,25,3,bacharelado,Ciências Biológicas,81,1,baixa,Feminino,99,3,alto,3,Executivo de Vendas,1,baixa,Solteiro(a),7637,2354,7,Não,11,3,excelente,4,muito_alta,0,28,3,2,bom,21,16,7,9
36,Não,Viaja Raramente,1223,Pesquisa e Desenvolvimento,8,3,bacharelado,Técnico,83,3,alta,Feminino,59,3,alto,3,Representante de Saúde,3,alta,Divorciado(a),10096,8202,1,Não,13,3,excelente,2,media,3,17,2,3,melhor,17,14,12,8
55,Não,Viaja Raramente,836,Pesquisa e Desenvolvimento,8,3,bacharelado,Medicina,84,4,muito_alta,Feminino,33,3,alto,4,Gerente,3,alta,Divorciado(a),14756,19730,2,Sim,14,3,excelente,3,alta,3,21,2,3,melhor,5,0,0,2
36,Não,Viaja Frequentemente,1195,Pesquisa e Desenvolvimento,11,3,bacharelado,Ciências Biológicas,85,2,media,Masculino,95,2,medio,2,Diretor de Produção,2,media,Solteiro(a),6499,22656,1,Não,13,3,excelente,3,alta,0,6,3,3,melhor,6,5,0,3
45,Não,Viaja Raramente,1339,Pesquisa e Desenvolvimento,7,3,bacharelado,Ciências Biológicas,86,2,media,Masculino,59,3,alto,3,Cientista Pesquisador,1,baixa,Divorciado(a),9724,18787,2,Não,17,3,excelente,3,alta,1,25,2,3,melhor,1,0,0,0
35,Não,Viaja Frequentemente,664,Pesquisa e Desenvolvimento,1,3,bacharelado,Medicina,88,2,media,Masculino,79,3,alto,1,Cientista Pesquisador,1,baixa,Casado(a),2194,5868,4,Não,13,3,excelente,4,muito_alta,1,5,2,2,bom,3,2,1,2
36,Sim,Viaja Raramente,318,Pesquisa e Desenvolvimento,9,3,bacharelado,Medicina,90,4,muito_alta,Masculino,79,2,medio,1,Cientista Pesquisador,3,alta,Casado(a),3388,21777,0,Sim,17,3,excelente,1,baixa,1,2,0,2,bom,1,0,0,0
59,Não,Viaja Frequentemente,1225,Vendas,1,1,abaixo_faculdade,Ciências Biológicas,91,1,baixa,Feminino,57,2,medio,2,Executivo de Vendas,3,alta,Solteiro(a),5473,24668,7,Não,11,3,excelente,4,muito_alta,0,20,2,2,bom,4,3,1,3
29,Não,Viaja Raramente,1328,Pesquisa e Desenvolvimento,2,3,bacharelado,Ciências Biológicas,94,3,alta,Masculino,76,3,alto,1,Cientista Pesquisador,2,media,Casado(a),2703,4956,0,Não,23,4,excepcional,4,muito_alta,1,6,3,3,melhor,5,4,0,4
31,Não,Viaja Raramente,1082,Pesquisa e Desenvolvimento,1,4,mestrado,Medicina,95,3,alta,Masculino,87,3,alto,1,Cientista Pesquisador,2,media,Solteiro(a),2501,18775,1,Não,17,3,excelente,2,media,0,1,4,3,melhor,1,1,1,0
32,Não,Viaja Raramente,548,Pesquisa e Desenvolvimento,1,3,bacharelado,Ciências Biológicas,96,2,media,Masculino,66,3,alto,2,Cientista Pesquisador,2,media,Casado(a),6220,7346,1,Não,17,3,excelente,2,media,2,10,3,3,melhor,10,4,0,9
36,Não,Viaja Raramente,132,Pesquisa e Desenvolvimento,6,3,bacharelado,Ciências Biológicas,97,2,media,Feminino,55,4,muito_alto,1,Técnico de Laboratório,4,muito_alta,Casado(a),3038,22002,3,Não,12,3,excelente,2,media,0,5,3,3,melhor,1,0,0,0
31,Não,Viaja Raramente,746,Pesquisa e Desenvolvimento,8,4,mestrado,Ciências Biológicas,98,3,alta,Feminino,61,3,alto,2,Diretor de Produção,4,muito_alta,Solteiro(a),4424,20682,1,Não,23,4,excepcional,4,muito_alta,0,11,2,3,melhor,11,7,1,8
35,Não,Viaja Raramente,776,Vendas,1,4,mestrado,Marketing,100,3,alta,Masculino,32,2,medio,2,Executivo de Vendas,1,baixa,Solteiro(a),4312,23016,0,Não,14,3,excelente,2,media,0,16,2,3,melhor,15,13,2,8
45,Não,Viaja Raramente,193,Pesquisa e Desenvolvimento,6,4,mestrado,Outro,101,4,muito_alta,Masculino,52,3,alto,3,Diretor de Pesquisa,1,baixa,Casado(a),13245,15067,4,Sim,14,3,excelente,2,media,0,17,3,4,excelente,0,0,0,0
37,Não,Viaja Raramente,397,Pesquisa e Desenvolvimento,7,4,mestrado,Medicina,102,1,baixa,Masculino,30,3,alto,3,Diretor de Pesquisa,3,alta,Solteiro(a),13664,25258,4,Não,13,3,excelente,1,baixa,0,16,3,4,excelente,5,2,0,2
46,Não,Viaja Raramente,945,Recursos Humanos,5,2,faculdade,Medicina,103,2,media,Masculino,80,3,alto,2,Recursos Humanos,2,media,Divorciado(a),5021,10425,8,Sim,22,4,excepcional,4,muito_alta,1,16,2,3,melhor,4,2,0,2
30,Não,Viaja Raramente,852,Pesquisa e Desenvolvimento,1,1,abaixo_faculdade,Ciências Biológicas,104,4,muito_alta,Masculino,55,2,medio,2,Técnico de Laboratório,4,muito_alta,Casado(a),5126,15998,1,Sim,12,3,excelente,3,alta,2,10,1,2,bom,10,8,3,0
35,Não,Viaja Raramente,1214,Pesquisa e Desenvolvimento,1,3,bacharelado,Medicina,105,2,media,Masculino,30,2,medio,1,Cientista Pesquisador,3,alta,Solteiro(a),2859,26278,1,Não,18,3,excelente,1,baixa,0,6,3,3,melhor,6,4,0,4
55,Não,Viaja Raramente,111,Vendas,1,2,faculdade,Ciências Biológicas,106,1,baixa,Masculino,70,3,alto,3,Executivo de Vendas,4,muito_alta,Casado(a),10239,18092,3,Não,14,3,excelente,4,muito_alta,1,24,4,3,melhor,1,0,1,0
38,Não,Não Viaja,573,Pesquisa e Desenvolvimento,6,3,bacharelado,Medicina,107,2,media,Feminino,79,1,baixo,2,Cientista Pesquisador,4,muito_alta,Divorciado(a),5329,15717,7,Sim,12,3,excelente,4,muito_alta,3,17,3,3,melhor,13,11,1,9
34,Não,Viaja Raramente,1153,Pesquisa e Desenvolvimento,1,2,faculdade,Medicina,110,1,baixa,Masculino,94,3,alto,2,Diretor de Produção,2,media,Casado(a),4325,17736,1,Não,15,3,excelente,3,alta,0,5,2,3,melhor,5,2,1,3
56,Não,Viaja Raramente,1400,Pesquisa e Desenvolvimento,7,3,bacharelado,Ciências Biológicas,112,4,muito_alta,Masculino,49,1,baixo,3,Diretor de Produção,4,muito_alta,Solteiro(a),7260,21698,4,Não,11,3,excelente,1,baixa,0,37,3,2,bom,6,4,0,2
23,Não,Viaja Raramente,541,Vendas,2,1,abaixo_faculdade,Técnico,113,3,alta,Masculino,62,3,alto,1,Representante de Vendas,1,baixa,Divorciado(a),2322,9518,3,Não,13,3,excelente,3,alta,1,3,3,3,melhor,0,0,0,0
51,Não,Viaja Raramente,432,Pesquisa e Desenvolvimento,9,4,mestrado,Ciências Biológicas,116,4,muito_alta,Masculino,96,3,alto,1,Técnico de Laboratório,4,muito_alta,Casado(a),2075,18725,3,Não,23,4,excepcional,2,media,2,10,4,3,melhor,4,2,0,3
30,Não,Viaja Raramente,288,Pesquisa e Desenvolvimento,2,3,bacharelado,Ciências Biológicas,117,3,alta,Masculino,99,2,medio,2,Representante de Saúde,4,muito_alta,Casado(a),4152,15830,1,Não,19,3,excelente,1,baixa,3,11,3,3,melhor,11,10,10,8
46,Sim,Viaja Raramente,669,Vendas,9,2,faculdade,Medicina,118,3,alta,Masculino,64,2,medio,3,Executivo de Vendas,4,muito_alta,Solteiro(a),9619,13596,1,Não,16,3,excelente,4,muito_alta,0,9,3,3,melhor,9,8,4,7
40,Não,Viaja Frequentemente,530,Pesquisa e Desenvolvimento,1,4,mestrado,Ciências Biológicas,119,3,alta,Masculino,78,2,medio,4,Representante de Saúde,2,media,Casado(a),13503,14115,1,Não,22,4,excepcional,4,muito_alta,1,22,3,2,bom,22,3,11,11
51,Não,Viaja Raramente,632,Vendas,21,4,mestrado,Marketing,120,3,alta,Masculino,71,3,alto,2,Executivo de Vendas,4,muito_alta,Solteiro(a),5441,8423,0,Sim,22,4,excepcional,4,muito_alta,0,11,2,1,ruim,10,7,1,0
30,Não,Viaja Raramente,1334,Vendas,4,2,faculdade,Medicina,121,3,alta,Feminino,63,2,medio,2,Executivo de Vendas,2,media,Divorciado(a),5209,19760,1,Sim,12,3,excelente,2,media,3,11,4,2,bom,11,8,2,7
46,Não,Viaja Frequentemente,638,Pesquisa e Desenvolvimento,1,3,bacharelado,Medicina,124,3,alta,Masculino,40,2,medio,3,Representante de Saúde,1,baixa,Casado(a),10673,3142,2,Sim,13,3,excelente,3,alta,1,21,5,2,bom,10,9,9,5
32,Não,Viaja Raramente,1093,Vendas,6,4,mestrado,Medicina,125,2,media,Masculino,87,3,alto,2,Executivo de Vendas,3,alta,Solteiro(a),5010,24301,1,Não,16,3,excelente,1,baixa,0,12,0,3,melhor,11,8,5,7
